room,capacity,time
Art Studio,25,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Classroom 89,25,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Meeting room 1,25,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Classroom 4,33,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Classroom 5,33,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Classroom 67,50,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Science Lab,50,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Synergy Room,60,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Classroom 1,66,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Classroom 501,66,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Classroom 502,66,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Ting Foundation,66,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Pseudo Classroom 1,25,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Pseudo Classroom 2,25,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Pseudo Classroom 3,25,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Pseudo Classroom 4,33,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Pseudo Classroom 5,33,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Pseudo Classroom 6,50,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Pseudo Classroom 7,50,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Pseudo Classroom 8,60,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Pseudo Classroom 9,66,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Pseudo Classroom 10,66,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Pseudo Classroom 11,66,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
Pseudo Classroom 12,66,"21,31,41,51,61,22,32,42,52,62,23,33,43,53,63,24,34,44,54,64,25,35,45,55,65,26,36,46,56,66,27,37,47,57,67,28,38,48,58,68"
